date,state,Total
2022-03,Virginia,53770
2022-03,Washington,56422
2022-03,West Virginia,15526
2022-03,Wisconsin,46520
2022-03,Wyoming,5914
2022-02,Alabama,38974
2022-02,Alaska,5372
2022-02,Arizona,32928
2022-02,Arkansas,14480
2022-02,California,64321
2022-02,Colorado,35266
2022-02,Connecticut,10955
2022-02,Delaware,4257
2022-02,District of Columbia,480
2022-02,Florida,92800
2022-02,Georgia,31069
2022-02,Hawaii,0
2022-02,Idaho,12900
2022-02,Illinois,35744
2022-02,Indiana,38928
2022-02,Iowa,6091
2022-02,Kansas,14782
2022-02,Kentucky,24556
2022-02,Louisiana,24934
2022-02,Maine,7721
2022-02,Maryland,14240
2022-02,Massachusetts,10173
2022-02,Michigan,41160
2022-02,Minnesota,23444
2022-02,Mississippi,20989
2022-02,Missouri,40495
2022-02,Montana,8877
2022-02,Nebraska,2096
2022-02,Nevada,8076
2022-02,New Hampshire,9487
2022-02,New Jersey,12515
2022-02,New Mexico,12484
2022-02,New York,26285
2022-02,North Carolina,17847
2022-02,North Dakota,4634
2022-02,Ohio,41953
2022-02,Oklahoma,24867
2022-02,Oregon,26050
2022-02,Pennsylvania,71601
2022-02,Rhode Island,2383
2022-02,South Carolina,22178
2022-02,South Dakota,5950
2022-02,Tennessee,52330
2022-02,Texas,105883
2022-02,Utah,10595
2022-02,Vermont,3678
2022-02,Virginia,46990
2022-02,Washington,36819
2022-02,West Virginia,12994
2022-02,Wisconsin,37415
2022-02,Wyoming,5028
2022-01,Alabama,32644
2022-01,Alaska,4665
2022-01,Arizona,29721
2022-01,Arkansas,12849
2022-01,California,66131
2022-01,Colorado,32711
2022-01,Connecticut,8489
2022-01,Delaware,3845
2022-01,District of Columbia,456
2022-01,Florida,88238
2022-01,Georgia,26013
2022-01,Hawaii,0
2022-01,Idaho,10626
2022-01,Illinois,33529
2022-01,Indiana,36871
2022-01,Iowa,4922
2022-01,Kansas,12763
2022-01,Kentucky,18536
2022-01,Louisiana,21330
2022-01,Maine,6557
2022-01,Maryland,12860
2022-01,Massachusetts,9392
2022-01,Michigan,38444
2022-01,Minnesota,20415
2022-01,Mississippi,15349
2022-01,Missouri,35445
2022-01,Montana,7289
2022-01,Nebraska,1842
2022-01,Nevada,9376
2022-01,New Hampshire,8786
2022-01,New Jersey,12921
2022-01,New Mexico,10908
2022-01,New York,23515
2022-01,North Carolina,15260
2022-01,North Dakota,4030
2022-01,Ohio,37576
2022-01,Oklahoma,22635
2022-01,Oregon,23693
2022-01,Pennsylvania,60361
2022-01,Rhode Island,2101
2022-01,South Carolina,17347
2022-01,South Dakota,5228
2022-01,Tennessee,43340
2022-01,Texas,95267
2022-01,Utah,9030
2022-01,Vermont,3164
2022-01,Virginia,41296
2022-01,Washington,35194
2022-01,West Virginia,10092
2022-01,Wisconsin,29408
2022-01,Wyoming,4124
2021-12,Alabama,60733
2021-12,Alaska,7365
2021-12,Arizona,42641
2021-12,Arkansas,24567
2021-12,California,84009
2021-12,Colorado,46761
2021-12,Connecticut,10342
2021-12,Delaware,5729
2021-12,District of Columbia,489
2021-12,Florida,123511
2021-12,Georgia,45125
2021-12,Hawaii,0
2021-12,Idaho,18920
2021-12,Illinois,44909
2021-12,Indiana,53299
2021-12,Iowa,8096
2021-12,Kansas,19433
2021-12,Kentucky,36118
2021-12,Louisiana,36809
2021-12,Maine,11366
2021-12,Maryland,17618
2021-12,Massachusetts,11693
2021-12,Michigan,53970
2021-12,Minnesota,27219
2021-12,Mississippi,31975
2021-12,Missouri,57480
2021-12,Montana,13196
2021-12,Nebraska,3582
2021-12,Nevada,11054
2021-12,New Hampshire,12362
2021-12,New Jersey,13410
2021-12,New Mexico,16607
2021-12,New York,32815
2021-12,North Carolina,29705
2021-12,North Dakota,5766
2021-12,Ohio,60870
2021-12,Oklahoma,38739
2021-12,Oregon,32922
2021-12,Pennsylvania,88015
2021-12,Rhode Island,2729
2021-12,South Carolina,31493
2021-12,South Dakota,7840
2021-12,Tennessee,75510
2021-12,Texas,153790
2021-12,Utah,17232
2021-12,Vermont,4538
2021-12,Virginia,61827
2021-12,Washington,47676
2021-12,West Virginia,20115
2021-12,Wisconsin,39751
2021-12,Wyoming,7572
2021-11,Alabama,45940
2021-11,Alaska,7059
2021-11,Arizona,33765
2021-11,Arkansas,19367
2021-11,California,75938
2021-11,Colorado,40976
2021-11,Connecticut,9916
2021-11,Delaware,4848
2021-11,District of Columbia,624
2021-11,Florida,104831
2021-11,Georgia,34209
2021-11,Hawaii,0
2021-11,Idaho,16274
2021-11,Illinois,41351
2021-11,Indiana,46028
2021-11,Iowa,8428
2021-11,Kansas,17129
2021-11,Kentucky,29060
2021-11,Louisiana,30767
2021-11,Maine,9916
2021-11,Maryland,16295
2021-11,Massachusetts,10851
2021-11,Michigan,52741
2021-11,Minnesota,27807
2021-11,Mississippi,24904
2021-11,Missouri,48012
2021-11,Montana,10925
2021-11,Nebraska,3331
2021-11,Nevada,8995
2021-11,New Hampshire,9973
2021-11,New Jersey,14260
2021-11,New Mexico,13159
2021-11,New York,31097
2021-11,North Carolina,24445
2021-11,North Dakota,5586
2021-11,Ohio,54690
2021-11,Oklahoma,32125
2021-11,Oregon,29388
2021-11,Pennsylvania,76744
2021-11,Rhode Island,2639
2021-11,South Carolina,24465
2021-11,South Dakota,7647
2021-11,Tennessee,60002
2021-11,Texas,122906
2021-11,Utah,14065
2021-11,Vermont,3659
2021-11,Virginia,53837
2021-11,Washington,37870
2021-11,West Virginia,17120
2021-11,Wisconsin,39827
2021-11,Wyoming,6394
2021-10,Alabama,36984
2021-10,Alaska,7058
2021-10,Arizona,31528
2021-10,Arkansas,16265
2021-10,California,73708
2021-10,Colorado,38902
2021-10,Connecticut,9828
2021-10,Delaware,4507
2021-10,District of Columbia,405
2021-10,Florida,97219
2021-10,Georgia,29950
2021-10,Hawaii,0
2021-10,Idaho,14279
2021-10,Illinois,37858
2021-10,Indiana,40153
2021-10,Iowa,6772
2021-10,Kansas,14470
2021-10,Kentucky,24122
2021-10,Louisiana,27356
2021-10,Maine,11310
2021-10,Maryland,14795
2021-10,Massachusetts,10868
2021-10,Michigan,48262
2021-10,Minnesota,31977
